"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","DLY-TAVG-NORMAL","meas_flag_DLY-TAVG-NORMAL","comp_flag_DLY-TAVG-NORMAL","years_DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","meas_flag_DLY-TMAX-NORMAL","comp_flag_DLY-TMAX-NORMAL","years_DLY-TMAX-NORMAL","DLY-TMIN-NORMAL","meas_flag_DLY-TMIN-NORMAL","comp_flag_DLY-TMIN-NORMAL","years_DLY-TMIN-NORMAL","DLY-DUTR-NORMAL","meas_flag_DLY-DUTR-NORMAL","comp_flag_DLY-DUTR-NORMAL","years_DLY-DUTR-NORMAL","DLY-TAVG-STDDEV","meas_flag_DLY-TAVG-STDDEV","comp_flag_DLY-TAVG-STDDEV","years_DLY-TAVG-STDDEV","DLY-TMAX-STDDEV","meas_flag_DLY-TMAX-STDDEV","comp_flag_DLY-TMAX-STDDEV","years_DLY-TMAX-STDDEV","DLY-TMIN-STDDEV","meas_flag_DLY-TMIN-STDDEV","comp_flag_DLY-TMIN-STDDEV","years_DLY-TMIN-STDDEV","DLY-DUTR-STDDEV","meas_flag_DLY-DUTR-STDDEV","comp_flag_DLY-DUTR-STDDEV","years_DLY-DUTR-STDDEV","DLY-HTDD-NORMAL","meas_flag_DLY-HTDD-NORMAL","comp_flag_DLY-HTDD-NORMAL","years_DLY-HTDD-NORMAL","DLY-HTDD-BASE40","meas_flag_DLY-HTDD-BASE40","comp_flag_DLY-HTDD-BASE40","years_DLY-HTDD-BASE40","DLY-HTDD-BASE45","meas_flag_DLY-HTDD-BASE45","comp_flag_DLY-HTDD-BASE45","years_DLY-HTDD-BASE45","DLY-HTDD-BASE50","meas_flag_DLY-HTDD-BASE50","comp_flag_DLY-HTDD-BASE50","years_DLY-HTDD-BASE50","DLY-HTDD-BASE55","meas_flag_DLY-HTDD-BASE55","comp_flag_DLY-HTDD-BASE55","years_DLY-HTDD-BASE55","DLY-HTDD-BASE57","meas_flag_DLY-HTDD-BASE57","comp_flag_DLY-HTDD-BASE57","years_DLY-HTDD-BASE57","DLY-HTDD-BASE60","meas_flag_DLY-HTDD-BASE60","comp_flag_DLY-HTDD-BASE60","years_DLY-HTDD-BASE60","DLY-CLDD-NORMAL","meas_flag_DLY-CLDD-NORMAL","comp_flag_DLY-CLDD-NORMAL","years_DLY-CLDD-NORMAL","DLY-CLDD-BASE40","meas_flag_DLY-CLDD-BASE40","comp_flag_DLY-CLDD-BASE40","years_DLY-CLDD-BASE40","DLY-CLDD-BASE45","meas_flag_DLY-CLDD-BASE45","comp_flag_DLY-CLDD-BASE45","years_DLY-CLDD-BASE45","DLY-CLDD-BASE50","meas_flag_DLY-CLDD-BASE50","comp_flag_DLY-CLDD-BASE50","years_DLY-CLDD-BASE50","DLY-CLDD-BASE55","meas_flag_DLY-CLDD-BASE55","comp_flag_DLY-CLDD-BASE55","years_DLY-CLDD-BASE55","DLY-CLDD-BASE57","meas_flag_DLY-CLDD-BASE57","comp_flag_DLY-CLDD-BASE57","years_DLY-CLDD-BASE57","DLY-CLDD-BASE60","meas_flag_DLY-CLDD-BASE60","comp_flag_DLY-CLDD-BASE60","years_DLY-CLDD-BASE60","DLY-CLDD-BASE70","meas_flag_DLY-CLDD-BASE70","comp_flag_DLY-CLDD-BASE70","years_DLY-CLDD-BASE70","DLY-CLDD-BASE72","meas_flag_DLY-CLDD-BASE72","comp_flag_DLY-CLDD-BASE72","years_DLY-CLDD-BASE72","DLY-GRDD-BASE65","meas_flag_DLY-GRDD-BASE65","comp_flag_DLY-GRDD-BASE65","years_DLY-GRDD-BASE65","DLY-GRDD-BASE40","meas_flag_DLY-GRDD-BASE40","comp_flag_DLY-GRDD-BASE40","years_DLY-GRDD-BASE40","DLY-GRDD-BASE45","meas_flag_DLY-GRDD-BASE45","comp_flag_DLY-GRDD-BASE45","years_DLY-GRDD-BASE45","DLY-GRDD-BASE50","meas_flag_DLY-GRDD-BASE50","comp_flag_DLY-GRDD-BASE50","years_DLY-GRDD-BASE50","DLY-GRDD-BASE55","meas_flag_DLY-GRDD-BASE55","comp_flag_DLY-GRDD-BASE55","years_DLY-GRDD-BASE55","DLY-GRDD-BASE57","meas_flag_DLY-GRDD-BASE57","comp_flag_DLY-GRDD-BASE57","years_DLY-GRDD-BASE57","DLY-GRDD-BASE60","meas_flag_DLY-GRDD-BASE60","comp_flag_DLY-GRDD-BASE60","years_DLY-GRDD-BASE60","DLY-GRDD-BASE70","meas_flag_DLY-GRDD-BASE70","comp_flag_DLY-GRDD-BASE70","years_DLY-GRDD-BASE70","DLY-GRDD-BASE72","meas_flag_DLY-GRDD-BASE72","comp_flag_DLY-GRDD-BASE72","years_DLY-GRDD-BASE72","DLY-GRDD-TB4886","meas_flag_DLY-GRDD-TB4886","comp_flag_DLY-GRDD-TB4886","years_DLY-GRDD-TB4886","DLY-GRDD-TB5086","meas_flag_DLY-GRDD-TB5086","comp_flag_DLY-GRDD-TB5086","years_DLY-GRDD-TB5086","DLY-PRCP-PCTALL-GE001HI","meas_flag_DLY-PRCP-PCTALL-GE001HI","comp_flag_DLY-PRCP-PCTALL-GE001HI","years_DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","meas_flag_DLY-PRCP-PCTALL-GE010HI","comp_flag_DLY-PRCP-PCTALL-GE010HI","years_DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","meas_flag_DLY-PRCP-PCTALL-GE025HI","comp_flag_DLY-PRCP-PCTALL-GE025HI","years_DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","meas_flag_DLY-PRCP-PCTALL-GE050HI","comp_flag_DLY-PRCP-PCTALL-GE050HI","years_DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","meas_flag_DLY-PRCP-PCTALL-GE100HI","comp_flag_DLY-PRCP-PCTALL-GE100HI","years_DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","meas_flag_DLY-PRCP-PCTALL-GE200HI","comp_flag_DLY-PRCP-PCTALL-GE200HI","years_DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","meas_flag_DLY-PRCP-PCTALL-GE400HI","comp_flag_DLY-PRCP-PCTALL-GE400HI","years_DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","meas_flag_DLY-PRCP-PCTALL-GE600HI","comp_flag_DLY-PRCP-PCTALL-GE600HI","years_DLY-PRCP-PCTALL-GE600HI","DLY-PRCP-25PCTL","meas_flag_DLY-PRCP-25PCTL","comp_flag_DLY-PRCP-25PCTL","years_DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","meas_flag_DLY-PRCP-50PCTL","comp_flag_DLY-PRCP-50PCTL","years_DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","meas_flag_DLY-PRCP-75PCTL","comp_flag_DLY-PRCP-75PCTL","years_DLY-PRCP-75PCTL","MTD-PRCP-NORMAL","meas_flag_MTD-PRCP-NORMAL","comp_flag_MTD-PRCP-NORMAL","years_MTD-PRCP-NORMAL","YTD-PRCP-NORMAL","meas_flag_YTD-PRCP-NORMAL","comp_flag_YTD-PRCP-NORMAL","years_YTD-PRCP-NORMAL"
"USW00024234","01-01"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","01","99","    41.9"," ","R","19","    47.5"," ","R","19","    36.2"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.4"," ","R","19","    23.1"," ","R","19","     1.3"," ","R","19","     4.0"," ","R","19","     8.3"," ","R","19","    13.1"," ","R","19","    15.1"," ","R","19","    18.1"," ","R","19","     0.0"," ","R","19","     3.2"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.2"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.9"," ","R","19","     0.5"," ","R","19","    61.4"," ","P","22","    38.5"," ","P","22","    23.0"," ","P","22","    11.5"," ","P","22","     2.6"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.40"," ","P","22","    0.18"," ","R","22","    0.18"," ","R","22"
"USW00024234","01-02"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","02","99","    41.9"," ","R","19","    47.6"," ","R","19","    36.2"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    23.1"," ","R","19","     1.3"," ","R","19","     4.0"," ","R","19","     8.2"," ","R","19","    13.1"," ","R","19","    15.1"," ","R","19","    18.1"," ","R","19","     0.0"," ","R","19","     3.2"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.2"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.0"," ","R","19","     0.5"," ","R","19","    61.5"," ","P","22","    38.5"," ","P","22","    22.9"," ","P","22","    11.5"," ","P","22","     2.6"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.40"," ","P","22","    0.35"," ","R","22","    0.35"," ","R","22"
"USW00024234","01-03"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","03","99","    42.0"," ","R","19","    47.7"," ","R","19","    36.3"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    23.0"," ","R","19","     1.3"," ","R","19","     3.9"," ","R","19","     8.1"," ","R","19","    13.0"," ","R","19","    15.0"," ","R","19","    18.0"," ","R","19","     0.0"," ","R","19","     3.3"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.3"," ","R","19","     0.9"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.0"," ","R","19","     0.6"," ","R","19","    61.6"," ","P","22","    38.6"," ","P","22","    22.8"," ","P","22","    11.5"," ","P","22","     2.6"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    0.53"," ","R","22","    0.53"," ","R","22"
"USW00024234","01-04"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","04","99","    42.1"," ","R","19","    47.8"," ","R","19","    36.4"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.9"," ","R","19","     1.4"," ","R","19","     3.9"," ","R","19","     8.1"," ","R","19","    12.9"," ","R","19","    14.9"," ","R","19","    17.9"," ","R","19","     0.0"," ","R","19","     3.4"," ","R","19","     1.0"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.4"," ","R","19","     1.0"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.0"," ","R","19","     0.6"," ","R","19","    61.6"," ","P","22","    38.7"," ","P","22","    22.7"," ","P","22","    11.5"," ","P","22","     2.6"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    0.70"," ","R","22","    0.70"," ","R","22"
"USW00024234","01-05"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","05","99","    42.1"," ","R","19","    47.8"," ","R","19","    36.4"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.9"," ","R","19","     1.4"," ","R","19","     3.9"," ","R","19","     8.0"," ","R","19","    12.9"," ","R","19","    14.9"," ","R","19","    17.9"," ","R","19","     0.0"," ","R","19","     3.5"," ","R","19","     1.0"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.5"," ","R","19","     1.0"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.1"," ","R","19","     0.6"," ","R","19","    61.6"," ","P","22","    38.7"," ","P","22","    22.6"," ","P","22","    11.4"," ","P","22","     2.5"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    0.88"," ","R","22","    0.88"," ","R","22"
"USW00024234","01-06"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","06","99","    42.2"," ","R","19","    47.9"," ","R","19","    36.5"," ","R","19","    11.4"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.8"," ","R","19","     1.5"," ","R","19","     3.9"," ","R","19","     7.9"," ","R","19","    12.8"," ","R","19","    14.8"," ","R","19","    17.8"," ","R","19","     0.0"," ","R","19","     3.7"," ","R","19","     1.1"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.7"," ","R","19","     1.1"," ","R","19","     0.1"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.1"," ","R","19","     0.7"," ","R","19","    61.5"," ","P","22","    38.7"," ","P","22","    22.5"," ","P","22","    11.4"," ","P","22","     2.5"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    1.05"," ","R","22","    1.05"," ","R","22"
"USW00024234","01-07"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","07","99","    42.3"," ","R","19","    48.0"," ","R","19","    36.5"," ","R","19","    11.5"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.7"," ","R","19","     1.5"," ","R","19","     3.9"," ","R","19","     7.9"," ","R","19","    12.7"," ","R","19","    14.7"," ","R","19","    17.7"," ","R","19","     0.0"," ","R","19","     3.8"," ","R","19","     1.2"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.8"," ","R","19","     1.2"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.2"," ","R","19","     0.7"," ","R","19","    61.4"," ","P","22","    38.7"," ","P","22","    22.4"," ","P","22","    11.3"," ","P","22","     2.5"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    1.22"," ","R","22","    1.22"," ","R","22"
"USW00024234","01-08"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","08","99","    42.3"," ","R","19","    48.1"," ","R","19","    36.6"," ","R","19","    11.5"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.7"," ","R","19","     1.5"," ","R","19","     3.9"," ","R","19","     7.9"," ","R","19","    12.7"," ","R","19","    14.7"," ","R","19","    17.7"," ","R","19","     0.0"," ","R","19","     3.8"," ","R","19","     1.2"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.8"," ","R","19","     1.2"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.2"," ","R","19","     0.8"," ","R","19","    61.2"," ","P","22","    38.7"," ","P","22","    22.2"," ","P","22","    11.3"," ","P","22","     2.4"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    1.39"," ","R","22","    1.39"," ","R","22"
"USW00024234","01-09"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","09","99","    42.4"," ","R","19","    48.1"," ","R","19","    36.7"," ","R","19","    11.5"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.6"," ","R","19","     1.5"," ","R","19","     3.9"," ","R","19","     7.8"," ","R","19","    12.6"," ","R","19","    14.6"," ","R","19","    17.6"," ","R","19","     0.0"," ","R","19","     3.9"," ","R","19","     1.3"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.9"," ","R","19","     1.3"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.3"," ","R","19","     0.8"," ","R","19","    61.1"," ","P","22","    38.6"," ","P","22","    22.1"," ","P","22","    11.2"," ","P","22","     2.4"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.39"," ","P","22","    1.56"," ","R","22","    1.56"," ","R","22"
"USW00024234","01-10"," 47.5303","-122.3008","   6.1","SEATTLE BOEING FLD, WA US","01","10","99","    42.5"," ","R","19","    48.2"," ","R","19","    36.7"," ","R","19","    11.5"," ","R","19","     5.6"," ","R","19","     5.6"," ","R","19","     6.5"," ","R","19","     4.5"," ","R","19","    22.5"," ","R","19","     1.4"," ","R","19","     3.8"," ","R","19","     7.7"," ","R","19","    12.5"," ","R","19","    14.5"," ","R","19","    17.5"," ","R","19","     0.0"," ","R","19","     3.9"," ","R","19","     1.3"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     3.9"," ","R","19","     1.3"," ","R","19","     0.2"," ","R","19","     0.0","X","R","19","     0.0","X","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     0.0"," ","R","19","     1.3"," ","R","19","     0.8"," ","R","19","    60.9"," ","P","22","    38.5"," ","P","22","    21.9"," ","P","22","    11.1"," ","P","22","     2.3"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.06"," ","P","22","    0.15"," ","P","22","    0.38"," ","P","22","    1.73"," ","R","22","    1.73"," ","R","22"
